object_class,pattern,struct_cluster,sem_cluster,cluster_size,minority_size,dominant_sem_cluster,dominant_struct_cluster,cluster_purity,example_rank,object_id,object_label,definition,mean_weight_cosine,radicals
radicals,struct_together_sem_split,0,0,212,129,1,,0.3915,1,人,人,,,
radicals,struct_together_sem_split,0,2,212,129,1,,0.3915,2,儿,儿,,,
radicals,struct_together_sem_split,0,2,212,129,1,,0.3915,3,几,几,,,
radicals,sem_together_struct_split,2,1,84,1,,0,0.9881,1,口,口,,,
radicals,sem_together_struct_split,1,2,66,1,,0,0.9848,1,一,一,,,
characters,struct_together_sem_split,0,18,163,123,0,,0.2454,1,U+3488,㒈,dangerous; lofty; steep; high and dangerous,0.56173253,"乙, 人, 攴, 耳"
characters,struct_together_sem_split,0,52,163,123,0,,0.2454,2,U+350C,㔌,"to cut off; to mince, to cut up firewood",0.5431843275,"丿, 刀, 又, 耳"
characters,struct_together_sem_split,0,20,163,123,0,,0.2454,3,U+35A9,㖩,"not pure, immodest, to urge, (same as 嗾) to set a dog on",0.51929489,"又, 口, 耳"
characters,struct_together_sem_split,1,32,1306,1016,0,,0.2221,1,U+3416,㐖,"㐖毒, an old name for India",0.6027176166666667,"乙, 口, 士"
characters,struct_together_sem_split,1,48,1306,1016,0,,0.2221,2,U+342D,㐭,"(same as 廩) a granary, to supply (foodstuff), to stockpile",0.5679718066666667,"亠, 口, 囗"
characters,struct_together_sem_split,1,20,1306,1016,0,,0.2221,3,U+342F,㐯,"(ancient form of 庸) to employ; to use, to manifest",0.70476639,"亠, 口, 香"
characters,struct_together_sem_split,2,33,160,124,0,,0.225,1,U+3B62,㭢,"mechanics, opportunity, urgent",0.6216313075,"一, 刀, 廾, 木"
characters,struct_together_sem_split,2,2,160,124,0,,0.225,2,U+3B87,㮇,"(standard form of 掭) (same as 栝) a builder's frame for measuring, juniper, a poker (for stirring fire, a cylinder part on the old style of wooden doors",0.6289091360000001,"一, 丶, 大, 小, 木"
characters,struct_together_sem_split,2,26,160,124,0,,0.225,3,U+3B8E,㮎,(non-classical form of U+76C3 盃 U+676F 杯) cup; a tumbler; a glass,0.5615736166666666,"一, 木, 皿"
characters,struct_together_sem_split,3,47,637,502,0,,0.2119,1,U+345C,㑜,(a dialect) to engrave,0.5800484233333334,"人, 手, 斤"
characters,struct_together_sem_split,3,47,637,502,0,,0.2119,2,U+353C,㔼,"(non-classical form of 榫) to fit into, a tenon, connected",0.5765960033333334,"十, 手, 隹"
characters,struct_together_sem_split,3,58,637,502,0,,0.2119,3,U+3742,㝂,"locust, larva of Chilo simplex; a kind of moth",0.33349046999999993,"子, 手, 斤"
characters,struct_together_sem_split,4,13,125,89,0,,0.288,1,U+3434,㐴,"(non-classical of 攀) to drag down; to seize, to pull, to hold to",0.5824327499999999,"人, 夕"
characters,struct_together_sem_split,4,47,125,89,0,,0.288,2,U+3469,㑩,(simplified form of U+5138 儸) smart; clever,0.6537445566666666,"人, 夕, 网"
characters,struct_together_sem_split,4,27,125,89,0,,0.288,3,U+3485,㒅,to unbind the collar,0.6268834499999999,"亠, 人, 夕"
characters,struct_together_sem_split,5,28,555,437,0,,0.2126,1,U+347E,㑾,"(interchangeable 繇) joy, delight, gratification",0.631376175,"人, 言"
characters,struct_together_sem_split,5,24,555,437,0,,0.2126,2,U+34C3,㓃,(standard form of U+8A6B 詫) to sacrifice by pouring out a libation of wine,0.5996744325,"丿, 乙, 冖, 言"
characters,struct_together_sem_split,5,8,555,437,0,,0.2126,3,U+360A,㘊,the abrupt and hasty sound of the crowd,0.5610445433333333,"口, 言, 雨"
characters,struct_together_sem_split,6,8,148,112,0,,0.2432,1,U+34C8,㓈,sound of flying or speeding,0.54477456,"冫, 石"
characters,struct_together_sem_split,6,49,148,112,0,,0.2432,2,U+34C9,㓉,"ice; icicles, cold; frost, crystallized",0.53270257,"冫, 舌"
characters,struct_together_sem_split,6,16,148,112,0,,0.2432,3,U+34CE,㓎,"cold, cold air, bitterly cold",0.68194443,冫
characters,struct_together_sem_split,7,32,39,23,0,,0.4103,1,U+3731,㜱,"used in girl's name, soft and tender",0.64360831,"女, 斤, 貝"
characters,struct_together_sem_split,7,56,39,23,0,,0.4103,2,U+4447,䑇,medicine for a sore; a boil (injure by a sword or a knife),0.5383472266666667,"斤, 肉, 貝"
characters,struct_together_sem_split,7,19,39,23,0,,0.4103,3,U+4720,䜠,language of the savage or barbarian,0.6753326233333334,"斤, 言, 貝"
characters,struct_together_sem_split,8,20,114,80,0,,0.2982,1,U+36E5,㛥,"to prostrate; to make obeisance, to concede or submit willingly",0.5101298,"女, 日, 水"
characters,struct_together_sem_split,8,46,114,80,0,,0.2982,2,U+39FA,㧺,a finger wrapper; a covering (used to protect the fingers from getting hurt),0.4880591,"手, 日, 水"
characters,struct_together_sem_split,8,14,114,80,0,,0.2982,3,U+3B7C,㭼,a rectangle shaped peg or short post between the beans and the roof timbers; the square peck-shaped box half-way up a Chinese flagstaff,0.45177442,"日, 木, 水"
characters,struct_together_sem_split,9,20,756,538,0,,0.2884,1,U+347D,㑽,"(same as 傏) to ward off; to parry; to keep out, as wind, rain, or cold",0.675582025,"人, 土"
characters,struct_together_sem_split,9,18,756,538,0,,0.2884,2,U+3481,㒁,"(same as 俁) of great stature; stalwart, to injure, to grieve",0.66268943,"人, 囗, 土"
characters,struct_together_sem_split,9,45,756,538,0,,0.2884,3,U+34A6,㒦,"(same as 儡) puppets, very tired; fatigued; weary and weak",0.59717812,"人, 土, 田"
characters,struct_together_sem_split,10,15,707,561,0,,0.2065,1,U+342B,㐫,"(same as 凶) cruel, unfortunate, sad",0.7175494033333333,"丿, 亠, 凵"
characters,struct_together_sem_split,10,18,707,561,0,,0.2065,2,U+347B,㑻,"strong, robust, vigorous",0.604568324,"丿, 人, 宀, 山, 心"
characters,struct_together_sem_split,10,12,707,561,0,,0.2065,3,U+34BF,㒿,a kind of turban used in ancient time,0.6453811514285714,"丿, 二, 亠, 冂, 凵, 禸, 隹"
characters,struct_together_sem_split,11,52,488,376,0,,0.2295,1,U+34EF,㓯,"(same as 劙) to divide, to partition, to cut; to hack; to reap",0.6674932633333333,"刀, 巛, 田"
characters,struct_together_sem_split,11,2,488,376,0,,0.2295,2,U+34FD,㓽,a kind of farm tool; iron spade; spade,0.5852728325000001,"刀, 宀, 山, 示"
characters,struct_together_sem_split,11,1,488,376,0,,0.2295,3,U+3523,㔣,"in ancient times to fight against the enemy by pushing down the big rocks from up high; to throw over, to urge; to exert oneself, to carry in the bosom",0.5795542899999999,"力, 田"
characters,struct_together_sem_split,12,29,859,585,0,,0.319,1,U+3491,㒑,"grow up, commodity prices",0.5216897125000001,"人, 匚, 水, 隹"
characters,struct_together_sem_split,12,10,859,585,0,,0.319,2,U+3624,㘤,circle of the moving water,0.6512582,"囗, 水"
characters,struct_together_sem_split,12,52,859,585,0,,0.319,3,U+3659,㙙,"to smear; to daub, to erase; to blot out, mud, mire, to plaster a wall with mud",0.6392921200000001,"丶, 土, 尢, 彡, 水"
characters,struct_together_sem_split,13,15,571,417,0,,0.2697,1,U+3466,㑦,"anger; rage; angry, (same as 戾) recalcitrant; stubbornly persisting in doing something wrong; cruel; despotic",0.5416730624999999,"丶, 人, 尸, 犬"
characters,struct_together_sem_split,13,42,571,417,0,,0.2697,2,U+349D,㒝,to deceive; artful; false,0.5759488933333333,"丶, 人, 戈"
characters,struct_together_sem_split,13,48,571,417,0,,0.2697,3,U+34E7,㓧,agricultural implements,0.5528925675,"丶, 人, 刀, 口"
characters,struct_together_sem_split,14,21,60,42,0,,0.3,1,U+4167,䅧,"fine rice seedling; growing rice in order, (same as 蔭) shade of trees; shade",0.42723054000000005,"禾, 音"
characters,struct_together_sem_split,14,3,60,42,0,,0.3,2,U+4514,䔔,name of a variety of grass,0.5384975633333333,"儿, 艸, 音"
characters,struct_together_sem_split,14,47,60,42,0,,0.3,3,U+4581,䖁,"number, to count; to enumerate",0.54401478,"心, 禸, 艸, 音"
characters,struct_together_sem_split,15,45,575,479,0,,0.167,1,U+348D,㒍,(interchangeable U+50AB 儽) utterly weary in body and spirits; negligent; lax,0.6064403166666666,"人, 厶, 糸"
characters,struct_together_sem_split,15,20,575,479,0,,0.167,2,U+3499,㒙,"to hand or bow the head; to droop; to lower, low; beneath",0.6238143125,"人, 巾, 白, 糸"
characters,struct_together_sem_split,15,32,575,479,0,,0.167,3,U+34A1,㒡,name of a person,0.64625205,"丿, 人, 爪, 糸, 缶"
characters,struct_together_sem_split,16,58,204,141,0,,0.3088,1,U+3559,㕙,a wily rabbit; a cunning hare,0.6184014449999999,"丶, 八, 厶, 夂"
characters,struct_together_sem_split,16,51,204,141,0,,0.3088,2,U+3687,㚇,"draw the feet up; to refuse to advance, to summarize; to gather; to collect, name of an old country, (same as U+9350 鍐) a headstall; ornament on a bridle; (Cant.) to jump up",0.6573078925,"丿, 八, 凵, 夂"
characters,struct_together_sem_split,16,32,204,141,0,,0.3088,3,U+36D6,㛖,used in girl's name,0.7094060775,"八, 厶, 夂, 女"
characters,struct_together_sem_split,17,24,225,179,0,,0.2044,1,U+3429,㐩,wine cups,0.4581224,二
characters,struct_together_sem_split,17,20,225,179,0,,0.2044,2,U+34BB,㒻,"(same as 冒) to go forward with eyes covered, to risk, to rush upon, to put forth, to issue forth",0.6311791333333333,"二, 冂, 見"
characters,struct_together_sem_split,17,4,225,179,0,,0.2044,3,U+34BE,㒾,a kind of wrapper used to cover over the face and head,0.5966257724999999,"乙, 二, 冂, 方"
characters,struct_together_sem_split,18,42,139,106,0,,0.2374,1,U+348E,㒎,"evil, wicked, wrong, foul",0.623163685,"丿, 人, 大, 非"
characters,struct_together_sem_split,18,8,139,106,0,,0.2374,2,U+356D,㕭,"(same as 咬) to bark as a dog, obscene expressions, an interjection; implying surprise",0.6479817466666667,"丿, 口, 大"
characters,struct_together_sem_split,18,20,139,106,0,,0.2374,3,U+35DB,㗛,"(same as 笑) to laugh; to smile, to laugh at; to ridicule",0.6158424250000001,"丿, 口, 大, 竹"
characters,struct_together_sem_split,19,47,241,197,0,,0.1826,1,U+3454,㑔,"(a simplified form) (corrupted form of 偦) all together, mutually, last name",0.533421665,"人, 頁"
characters,struct_together_sem_split,19,32,241,197,0,,0.1826,2,U+346F,㑯,"last name, all; together; mutually, a low rank officer to take charge of the bandits in ancient time",0.48391455000000005,"人, 頁"
characters,struct_together_sem_split,19,42,241,197,0,,0.1826,3,U+35BD,㖽,(corrupted form of 嘖) to call out; to make an uproar,0.5326612000000001,"口, 頁"
characters,struct_together_sem_split,20,45,295,230,0,,0.2203,1,U+3421,㐡,(same as 懦) weak; timid; imbecile,0.6479557133333333,"乙, 大, 而"
characters,struct_together_sem_split,20,52,295,230,0,,0.2203,2,U+34F4,㓴,"to cut in two, to slash",0.6221219666666667,"刀, 大, 而"
characters,struct_together_sem_split,20,42,295,230,0,,0.2203,3,U+368F,㚏,"(corrupted form) to scatter; to disperse, to give the reins to; to allow to run wild; unstable; light; featherbrained",0.61351004,"大, 廾"
characters,struct_together_sem_split,21,2,405,323,0,,0.2025,1,U+34F5,㓵,(same as 鍔) swords; a double-edged sword,0.5834157766666667,"一, 刀, 口"
characters,struct_together_sem_split,21,1,405,323,0,,0.2025,2,U+350A,㔊,"to cut; to hack; to reap, to strike; to attack, to chastise rebels",0.6270485133333333,"一, 亠, 刀, 口, 囗, 日"
characters,struct_together_sem_split,21,36,405,323,0,,0.2025,3,U+3576,㕶,"(Cant.) an expletive, exclamation",0.61081624,"一, 口"
characters,struct_together_sem_split,22,12,329,188,44,,0.4286,1,U+3800,㠀,(same as 島) island; isle,0.43195121000000003,"山, 鳥"
characters,struct_together_sem_split,22,0,329,188,44,,0.4286,2,U+4187,䆇,,0.6970665466666667,"几, 禾, 鳥"
characters,struct_together_sem_split,22,24,329,188,44,,0.4286,3,U+4CAD,䲭,"kite, owl, wine cups",0.511988815,"氏, 鳥"
characters,struct_together_sem_split,23,52,324,216,37,,0.3333,1,U+350D,㔍,"a hinged shear or long knife for cutting fodder; sheet-iron; etc., to cut up; to mince",0.5278351450000001,"刀, 竹"
characters,struct_together_sem_split,23,52,324,216,37,,0.3333,2,U+3510,㔐,(corrupted form) to cut; to mince,0.53183771,"一, 刀, 竹, 韭"
characters,struct_together_sem_split,23,28,324,216,37,,0.3333,3,U+39A2,㦢,"pure; virtuous; devotion; dedication, to have bearings; to have manners",0.54891635,"卩, 心, 竹"
characters,struct_together_sem_split,24,42,960,718,0,,0.2521,1,U+3465,㑥,"disrespectful; irreverent, to make light of; to neglect; careless; rush, to exchange, (said of one's personality) easy to get along with",0.60205552,"丿, 人, 勹, 日"
characters,struct_together_sem_split,24,18,960,718,0,,0.2521,2,U+347F,㑿,"long, of space or time, profitable, excelling",0.581689225,"人, 巛, 日, 木"
characters,struct_together_sem_split,24,20,960,718,0,,0.2521,3,U+3482,㒂,"to bestow; to grant, to act; to do, quiet; still, peace; tranquility",0.5828690249999999,"人, 日, 老, 艸"
characters,struct_together_sem_split,25,42,592,448,0,,0.2432,1,U+341C,㐜,"(same as 仇) an enemy, enmity, hatred, to hate, a rival, a match",0.653694438,"一, 丶, 乙, 亅, 八"
characters,struct_together_sem_split,25,20,592,448,0,,0.2432,2,U+3424,㐤,"to implore; to beseech, to seek after, to beg; to pray",0.524879085,"一, 乙, 八, 十"
characters,struct_together_sem_split,25,42,592,448,0,,0.2432,3,U+345F,㑟,insincere and cunning person; a pretentious person,0.6210218466666667,"一, 人, 八"
characters,struct_together_sem_split,26,18,559,411,0,,0.2648,1,U+3433,㐳,high and level on the top,0.6199982566666667,"一, 人, 儿"
characters,struct_together_sem_split,26,20,559,411,0,,0.2648,2,U+3442,㑂,"(same as 仿) to imitate, like; resembling, according to",0.6388877233333333,"一, 人, 冂"
characters,struct_together_sem_split,26,20,559,411,0,,0.2648,3,U+3445,㑅,"(same as 作) to make; to do; to act, to write; to compose; to rise, work",0.6050276533333333,"一, 人, 卜"
characters,struct_together_sem_split,27,47,3485,2721,0,,0.2192,1,U+3402,㐂,"(J) non-standard form of U+559C 喜, to like, love, enjoy; a joyful thing",0.73817611,乙
characters,struct_together_sem_split,27,43,3485,2721,0,,0.2192,2,U+340C,㐌,a tribe of savages in South China,0.60161018,乙
characters,struct_together_sem_split,27,25,3485,2721,0,,0.2192,3,U+3428,㐨,a kind of fish in legend (a record in old books),0.66347539,乙
characters,struct_together_sem_split,28,52,229,163,0,,0.2882,1,U+34CB,㓋,to freeze; to congeal; to curdle,0.5900019120000001,"一, 丨, 八, 冫, 十"
characters,struct_together_sem_split,28,2,229,163,0,,0.2882,2,U+3534,㔴,"agricultural implement; farm tools, a big sacrificial vessel; a tripod of bronze with two ears; a caldron",0.55638431,"一, 丨, 八, 匚, 十, 田"
characters,struct_together_sem_split,28,55,229,163,0,,0.2882,3,U+3535,㔵,a kind of vessel,0.6617392099999999,"一, 丨, 八, 匚, 十, 己"
characters,struct_together_sem_split,29,14,619,430,0,,0.3053,1,U+354B,㕋,rock land,0.49627713500000004,"厂, 金"
characters,struct_together_sem_split,29,36,619,430,0,,0.3053,2,U+3FA3,㾣,to shiver; to shudder; to tremble because of a malaria and a very bad cold,0.476684345,"疒, 金"
characters,struct_together_sem_split,29,22,619,430,0,,0.3053,3,U+40E2,䃢,name of a mountain (same as 嶔) lofty (of a mountain),0.4663571733333333,"欠, 石, 金"
characters,struct_together_sem_split,30,27,428,289,58,,0.3248,1,U+34A9,㒩,"(same as 梴 裸) naked, to strip; to unclothe",0.5261973333333333,"人, 彐, 虫"
characters,struct_together_sem_split,30,8,428,289,58,,0.3248,2,U+3C29,㰩,sound of laughter,0.45087409,"欠, 虫"
characters,struct_together_sem_split,30,10,428,289,58,,0.3248,3,U+3D43,㵃,name of a stream,0.5953974125,"匕, 宀, 水, 虫"
characters,struct_together_sem_split,31,23,691,469,0,,0.3213,1,U+364E,㙎,"breach of a tank; pond, (a dialect) to cover up; to conceal; to hide; to bury",0.5243489575,"一, 土, 女, 戈"
characters,struct_together_sem_split,31,42,691,469,0,,0.3213,2,U+36A2,㚢,"(ancient form of 奴) a slave; a servant, term of depreciation, (ancient form of 侮) to insult; to ridicule",0.65051052,"人, 女"
characters,struct_together_sem_split,31,20,691,469,0,,0.3213,3,U+36A3,㚣,"(ancient form of U+59E3 姣 U+5B0C 嬌) handsome; pretty, cunning, meretricious allurements, to insult; to disgrace, licentious; profligate; lewd; (Cant.) amorous, in love with",0.70571679,女
characters,struct_together_sem_split,32,26,474,375,0,,0.2089,1,U+3536,㔶,"a small cup, a box; a chest, a granary, cover of a vessel",0.6333876528571428,"匚, 十, 夂, 工, 日, 立, 貝"
characters,struct_together_sem_split,32,28,474,375,0,,0.2089,2,U+3562,㕢,"profound significance, just now; then; in that case",0.6970249749999999,"又, 貝"
